t,cond,tag,note
6.305,10,SessionStart,
6.305,1,COND_START,Spatial
111.231,1,SURVEY_Q1,I felt that the avatar listened to me 
like a real person 
and asked appropriate questions.|3
112.469,1,SURVEY_Q2,I felt that the system would generate appropriate questions 
about my presentation without errors.|4
113.556,1,SURVEY_Q3,Which cue did you notice during the pause?|System State
115.922,1,COND_END,Spatial
115.922,0,COND_START,Gesture
258.486,0,SURVEY_Q1,I felt that the avatar listened to me 
like a real person 
and asked appropriate questions.|4
259.431,0,SURVEY_Q2,I felt that the system would generate appropriate questions 
about my presentation without errors.|6
260.280,0,SURVEY_Q3,Which cue did you notice during the pause?|System State
262.509,0,COND_END,Gesture
268.791,0,SessionEnd,
